Average_Current,Max_Current,Min_Current,Median_Current,StDeviation_Current,Coffee Machine,Electric Kettle,Fridge
21.81266667,22.06,21.59,21.78,0.136667828,1,1,0
21.792,22.02,21.57,21.78,0.137954444,1,1,0
21.764,22.04,21.54,21.74,0.128829899,1,1,0
21.754,21.95,21.49,21.76,0.13988771,1,1,0
21.77533333,21.96,21.61,21.79,0.107628107,1,1,0
21.75866667,22,21.58,21.73,0.127552044,1,1,0
21.768,21.98,21.51,21.78,0.139447891,1,1,0
21.75333333,21.92,21.53,21.76,0.121694387,1,1,0
21.744,21.99,21.55,21.73,0.118671214,1,1,0
21.79066667,22.02,21.61,21.78,0.115663716,1,1,0
21.774,22.04,21.65,21.74,0.114878818,1,1,0
21.75933333,21.95,21.56,21.68,0.132420686,1,1,0
21.736,21.92,21.5,21.72,0.128441204,1,1,0
21.76733333,22.03,21.51,21.77,0.146016959,1,1,0
21.766,22.06,21.56,21.73,0.158059663,1,1,0
21.76933333,21.98,21.59,21.77,0.107402226,1,1,0
21.75733333,22.09,21.53,21.74,0.146456559,1,1,0
21.746,21.94,21.52,21.75,0.115127259,1,1,0
21.78066667,21.93,21.56,21.81,0.108197351,1,1,0
21.74,22.04,21.52,21.75,0.127054544,1,1,0
21.754,21.99,21.57,21.75,0.103219599,1,1,0
21.76066667,22.02,21.57,21.74,0.144245162,1,1,0
21.75866667,22.02,21.59,21.77,0.125917585,1,1,0
21.70866667,21.97,21.51,21.68,0.130759685,1,1,0
21.75666667,21.87,21.56,21.81,0.108868641,1,1,0
21.74133333,21.94,21.51,21.77,0.120999803,1,1,0
21.72666667,21.91,21.61,21.69,0.099115133,1,1,0
21.75666667,21.95,21.51,21.76,0.119861031,1,1,0
21.77,21.95,21.55,21.78,0.109739952,1,1,0
21.76466667,21.92,21.62,21.76,0.106493908,1,1,0
21.758,21.93,21.49,21.75,0.131703129,1,1,0
21.72866667,21.96,21.41,21.75,0.149564447,1,1,0
21.73933333,22.11,21.41,21.73,0.171733459,1,1,0
21.768,21.99,21.48,21.77,0.124968567,1,1,0
21.75666667,21.96,21.5,21.78,0.115552503,1,1,0
21.74733333,21.92,21.57,21.76,0.095876905,1,1,0
21.75733333,21.92,21.51,21.76,0.103542032,1,1,0
21.764,21.93,21.51,21.75,0.121054887,1,1,0
21.78133333,22.02,21.53,21.72,0.142270701,1,1,0
21.75866667,22.01,21.47,21.72,0.145104232,1,1,0
21.76266667,21.99,21.56,21.74,0.118831614,1,1,0
21.748,21.95,21.57,21.76,0.109296451,1,1,0
21.734,21.91,21.48,21.74,0.135266932,1,1,0
22.906,23.16,22.69,22.9,0.142116652,1,1,1
22.90933333,23.11,22.76,22.92,0.120206172,1,1,1
22.93866667,23.1,22.67,22.95,0.117282727,1,1,1
22.92866667,23.19,22.61,22.91,0.134529161,1,1,1
22.90133333,23.14,22.76,22.86,0.114633993,1,1,1
22.96866667,23.09,22.83,22.93,0.087575817,1,1,1
22.92866667,23.14,22.7,22.91,0.139584417,1,1,1
22.95,23.19,22.72,22.93,0.135804481,1,1,1
22.92866667,23.15,22.7,22.93,0.133676938,1,1,1
22.90066667,23.17,22.67,22.85,0.13301271,1,1,1
22.892,23.07,22.63,22.9,0.135446352,1,1,1
22.91266667,23.09,22.76,22.91,0.10367991,1,1,1
22.894,23.11,22.71,22.87,0.119451126,1,1,1
22.904,23.09,22.64,22.93,0.135951672,1,1,1
22.89133333,23.06,22.65,22.92,0.12111781,1,1,1
22.882,23.12,22.69,22.88,0.116140309,1,1,1
22.92866667,23.15,22.74,22.93,0.108289735,1,1,1
22.90866667,23.16,22.78,22.87,0.106761862,1,1,1
22.89533333,23.07,22.71,22.83,0.126144286,1,1,1
22.874,23.04,22.62,22.86,0.126310276,1,1,1
22.902,23.15,22.64,22.92,0.141178711,1,1,1
22.90066667,23.18,22.7,22.87,0.150022221,1,1,1
22.904,23.12,22.72,22.88,0.104183903,1,1,1
22.89466667,23.21,22.66,22.88,0.144512316,1,1,1
22.88266667,23.07,22.67,22.89,0.110419115,1,1,1
22.918,23.05,22.72,22.93,0.101994398,1,1,1
22.876,23.16,22.66,22.88,0.126818205,1,1,1
22.892,23.12,22.71,22.88,0.102204277,1,1,1
22.89333333,23.16,22.71,22.89,0.138752949,1,1,1
22.89466667,23.15,22.73,22.92,0.120704282,1,1,1
22.84533333,23.1,22.63,22.82,0.128333643,1,1,1
22.892,23.02,22.71,22.92,0.10877237,1,1,1
22.87933333,23.06,22.65,22.91,0.114795885,1,1,1
22.86333333,23.05,22.76,22.82,0.094465917,1,1,1
22.89066667,23.09,22.65,22.91,0.118228995,1,1,1
22.90266667,23.06,22.69,22.92,0.105726512,1,1,1
22.90066667,23.05,22.77,22.9,0.098884252,1,1,1
22.892,23.05,22.63,22.88,0.124911397,1,1,1
22.86333333,23.08,22.55,22.87,0.141757674,1,1,1
22.874,23.22,22.56,22.88,0.16061489,1,1,1
22.90533333,23.12,22.63,22.9,0.122350005,1,1,1
22.89133333,23.1,22.64,22.92,0.116549601,1,1,1
22.88066667,23.06,22.71,22.9,0.09490346,1,1,1
22.89466667,23.04,22.67,22.9,0.094102275,1,1,1
22.898,23.06,22.66,22.89,0.114654761,1,1,1
22.91533333,23.16,22.68,22.86,0.136322447,1,1,1
22.892,23.13,22.62,22.85,0.139088872,1,1,1
22.896,23.1,22.71,22.88,0.108285337,1,1,1
22.88,23.09,22.72,22.88,0.105964954,1,1,1
22.87066667,23.05,22.62,22.86,0.133655563,1,1,1
15.2998,15.57,14.96,15.33,0.123197038,0,1,0
15.2844,15.55,15.04,15.28,0.130041752,0,1,0
15.3052,15.55,15.02,15.32,0.139082122,0,1,0
15.2946,15.54,15.01,15.31,0.133481024,0,1,0
15.2826,15.56,15.01,15.31,0.131673839,0,1,0
15.2946,15.52,14.97,15.33,0.124248106,0,1,0
15.298,15.55,15.06,15.315,0.132017315,0,1,0
15.2996,15.55,14.99,15.32,0.127422806,0,1,0
15.2938,15.51,15.01,15.3,0.121115394,0,1,0
15.2924,15.54,14.98,15.28,0.122483818,0,1,0
15.3002,15.54,15.03,15.32,0.124219851,0,1,0
15.2902,15.56,14.96,15.3,0.128499821,0,1,0
15.2932,15.56,15.01,15.29,0.12938536,0,1,0
15.2934,15.57,15,15.305,0.13990682,0,1,0
15.2888,15.53,15.03,15.3,0.128152333,0,1,0
15.2928,15.54,14.99,15.295,0.121151617,0,1,0
15.3056,15.51,15.04,15.32,0.117632426,0,1,0
15.2898,15.52,15.01,15.295,0.121209719,0,1,0
15.2952,15.49,15.04,15.33,0.123043712,0,1,0
15.2886,15.51,15.04,15.295,0.123536494,0,1,0
15.294,15.55,15.02,15.305,0.128666631,0,1,0
15.294,15.56,15.05,15.295,0.1244908,0,1,0
15.3094,15.56,14.99,15.3,0.125118882,0,1,0
15.3012,15.57,15.02,15.315,0.140474996,0,1,0
15.2896,15.55,15.03,15.29,0.134846247,0,1,0
15.2908,15.54,15,15.29,0.129202262,0,1,0
15.2848,15.57,15.02,15.29,0.140643419,0,1,0
15.2938,15.59,15.03,15.28,0.13466345,0,1,0
15.291,15.56,14.99,15.27,0.14061454,0,1,0
15.2974,15.56,15.01,15.3,0.135628695,0,1,0
15.2872,15.55,15.06,15.275,0.135028946,0,1,0
15.3038,15.56,15.07,15.315,0.113943953,0,1,0
15.2836,15.55,14.99,15.28,0.144246954,0,1,0
15.2768,15.55,15.02,15.265,0.132548643,0,1,0
15.2958,15.54,15.09,15.295,0.118736374,0,1,0
15.2926,15.54,15.04,15.285,0.122070739,0,1,0
15.2792,15.54,15.05,15.27,0.116230594,0,1,0
15.279,15.57,14.98,15.3,0.130325339,0,1,0
15.2804,15.57,15.01,15.265,0.139678348,0,1,0
15.2912,15.55,15.01,15.29,0.124008558,0,1,0
15.3008,15.53,15.02,15.3,0.124979019,0,1,0
15.2872,15.56,14.99,15.285,0.142986227,0,1,0
15.2898,15.57,15.06,15.3,0.126224452,0,1,0
15.3034,15.56,15.02,15.3,0.124451613,0,1,0
15.281,15.52,14.98,15.285,0.123837451,0,1,0
15.3002,15.6,14.99,15.295,0.146878959,0,1,0
15.285,15.51,15,15.305,0.123424768,0,1,0
15.2848,15.49,14.99,15.305,0.124658554,0,1,0
15.2774,15.54,14.97,15.285,0.129690526,0,1,0
15.285,15.55,15.06,15.29,0.130763067,0,1,0
16.1882,16.3,16.06,16.22,0.075719407,0,1,1
16.155,16.3,16.04,16.14,0.078538954,0,1,1
16.1484,16.26,16.02,16.155,0.071638549,0,1,1
16.137,16.28,16.03,16.15,0.074155105,0,1,1
16.1132,16.22,16.01,16.115,0.06973536,0,1,1
15.9708,16.18,15.78,15.99,0.142267928,0,1,1
16.1036,16.21,15.98,16.105,0.067211515,0,1,1
16.1054,16.2,15.99,16.1,0.06685989,0,1,1
16.069,16.2,15.98,16.065,0.058944803,0,1,1
16.0624,16.23,15.94,16.07,0.071843367,0,1,1
16.032,16.15,15.87,16.03,0.073401329,0,1,1
15.9394,16.06,15.8,15.95,0.068195697,0,1,1
15.8854,16.07,15.79,15.88,0.07296099,0,1,1
15.8632,15.97,15.76,15.855,0.067414042,0,1,1
16.1624,16.27,16.05,16.165,0.074657312,0,1,1
16.146,16.28,16.02,16.15,0.078584415,0,1,1
16.113,16.28,15.99,16.11,0.073436075,0,1,1
16.1016,16.21,15.99,16.11,0.063386086,0,1,1
16.0856,16.2,15.99,16.085,0.075326771,0,1,1
16.0162,16.14,15.92,16.01,0.065055392,0,1,1
16.054,16.13,15.94,16.08,0.062759665,0,1,1
16.0354,16.13,15.88,16.065,0.071234307,0,1,1
16.0024,16.11,15.9,16.01,0.063231354,0,1,1
15.8978,15.99,15.8,15.89,0.059566118,0,1,1
16.1098,16.22,16,16.1,0.069149055,0,1,1
16.086,16.2,15.96,16.08,0.072082719,0,1,1
16.071,16.17,15.95,16.09,0.062278178,0,1,1
16.05,16.16,15.94,16.04,0.070624041,0,1,1
16.0212,16.16,15.78,16.015,0.10847063,0,1,1
15.9622,16.1,15.84,15.97,0.072034289,0,1,1
15.912,16.01,15.82,15.91,0.057887999,0,1,1
15.8914,15.98,15.8,15.895,0.054698058,0,1,1
15.885,15.98,15.78,15.9,0.063511207,0,1,1
