Average_Current,Max_Current,Min_Current,Electric Kettle,Electric Kettle and Fridge,Fridge
15.299800000000007,15.57,14.96,1,0,0
15.284399999999994,15.55,15.04,1,0,0
15.3052,15.55,15.02,1,0,0
15.294600000000004,15.54,15.01,1,0,0
15.2826,15.56,15.01,1,0,0
15.294599999999996,15.52,14.97,1,0,0
15.298000000000002,15.55,15.06,1,0,0
15.299599999999998,15.55,14.99,1,0,0
15.2938,15.51,15.01,1,0,0
15.2924,15.54,14.98,1,0,0
15.300200000000002,15.54,15.03,1,0,0
15.290199999999995,15.56,14.96,1,0,0
15.293199999999995,15.56,15.01,1,0,0
15.293399999999998,15.57,15.0,1,0,0
15.288800000000005,15.53,15.03,1,0,0
15.292799999999993,15.54,14.99,1,0,0
15.305600000000002,15.51,15.04,1,0,0
15.289799999999998,15.52,15.01,1,0,0
15.295200000000005,15.49,15.04,1,0,0
15.2886,15.51,15.04,1,0,0
15.294,15.55,15.02,1,0,0
15.294,15.56,15.05,1,0,0
15.309399999999995,15.56,14.99,1,0,0
15.3012,15.57,15.02,1,0,0
15.289599999999998,15.55,15.03,1,0,0
15.290799999999996,15.54,15.0,1,0,0
15.284799999999995,15.57,15.02,1,0,0
15.293799999999996,15.59,15.03,1,0,0
15.290999999999995,15.56,14.99,1,0,0
15.297399999999996,15.56,15.01,1,0,0
15.2872,15.55,15.06,1,0,0
15.3038,15.56,15.07,1,0,0
15.2836,15.55,14.99,1,0,0
15.276799999999998,15.55,15.02,1,0,0
15.295799999999995,15.54,15.09,1,0,0
15.292600000000002,15.54,15.04,1,0,0
15.279199999999998,15.54,15.05,1,0,0
15.279000000000002,15.57,14.98,1,0,0
15.280399999999995,15.57,15.01,1,0,0
15.291199999999998,15.55,15.01,1,0,0
15.300799999999995,15.53,15.02,1,0,0
15.2872,15.56,14.99,1,0,0
15.2898,15.57,15.06,1,0,0
15.303399999999995,15.56,15.02,1,0,0
15.280999999999995,15.52,14.98,1,0,0
15.3002,15.6,14.99,1,0,0
15.284999999999995,15.51,15.0,1,0,0
15.284800000000004,15.49,14.99,1,0,0
15.277399999999993,15.54,14.97,1,0,0
15.284999999999998,15.55,15.06,1,0,0
16.188200000000005,16.3,16.06,0,1,0
16.155,16.3,16.04,0,1,0
16.148399999999995,16.26,16.02,0,1,0
16.136999999999993,16.28,16.03,0,1,0
16.113200000000006,16.22,16.01,0,1,0
15.97079999999999,16.18,15.78,0,1,0
16.1036,16.21,15.98,0,1,0
16.105400000000003,16.2,15.99,0,1,0
16.069000000000006,16.2,15.98,0,1,0
16.062400000000004,16.23,15.94,0,1,0
16.032000000000004,16.15,15.87,0,1,0
15.939400000000004,16.06,15.8,0,1,0
15.8854,16.07,15.79,0,1,0
15.863200000000004,15.97,15.76,0,1,0
16.1624,16.27,16.05,0,1,0
16.146,16.28,16.02,0,1,0
16.112999999999996,16.28,15.99,0,1,0
16.101599999999998,16.21,15.99,0,1,0
16.085599999999996,16.2,15.99,0,1,0
16.016199999999998,16.14,15.92,0,1,0
16.054000000000006,16.13,15.94,0,1,0
16.035400000000006,16.13,15.88,0,1,0
16.00240000000001,16.11,15.9,0,1,0
15.8978,15.99,15.8,0,1,0
16.109799999999996,16.22,16.0,0,1,0
16.086,16.2,15.96,0,1,0
16.070999999999998,16.17,15.95,0,1,0
16.049999999999994,16.16,15.94,0,1,0
16.0212,16.16,15.78,0,1,0
15.962200000000005,16.1,15.84,0,1,0
